dt,deg,trial
0.25029,11.8,20
0.28589,11.8,20
0.31943,11.8,20
0.35503,11.7,20
0.39022,11.8,20
0.42682,11.7,20
0.46234,11.7,20
0.49815,11.8,20
0.5334,11.7,20
0.57066,11.8,20
0.60663,11.8,20
0.63925,11.8,20
0.67468,11.8,20
0.71101,11.7,20
0.02188,0.09999999999999964,21
0.112,10.3,21
0.14028,10.6,21
0.17591,10.7,21
0.21126,11.0,21
0.24705,10.6,21
0.2834,11.0,21
0.31826,11.1,21
0.35302,11.0,21
0.3881,11.1,21
0.4237,11.0,21
0.45937,11.0,21
0.49472,11.0,21
0.52794,11.1,21
0.56474,11.1,21
0.59773,11.0,21
0.63335,11.0,21
0.67027,11.3,21
0.70364,10.2,21
0.02544,0.7000000000000002,22
0.11645,10.6,22
0.14465,11.8,22
0.18022,11.8,22
0.21578,11.5,22
0.25189,11.5,22
0.28717,11.7,22
0.32235,11.7,22
0.35635,11.5,22
0.3937,11.7,22
0.42833,11.7,22
0.46277,11.7,22
0.49803,11.7,22
0.53292,11.5,22
0.56823,11.7,22
0.60513,11.5,22
0.64132,11.7,22
0.6762,11.7,22
0.71222,11.7,22
0.02374,0.5,23
0.11285,11.7,23
0.14146,12.5,23
0.17668,11.6,23
0.21255,11.4,23
0.24731,11.6,23
0.28296,11.6,23
0.31714,11.6,23
0.35272,11.6,23
0.38725,12.0,23
0.42346,11.6,23
0.45775,11.6,23
0.49322,11.6,23
0.5289,12.0,23
0.5618,11.4,23
0.59825,11.6,23
0.6316,11.8,23
0.66868,11.4,23
0.70351,11.0,23
